age_band,num_people,max_vax,time_1,time_2,time_3,time_4,infection,infection_day
2,1,2,39,297,-1,-1,0,-1
2,1,2,73,329,-1,-1,0,-1
2,1,2,175,320,-1,-1,0,-1
2,1,2,69,307,-1,-1,0,-1
2,1,2,171,301,-1,-1,0,-1
2,1,2,177,266,-1,-1,0,-1
2,1,2,136,263,-1,-1,0,-1
2,1,2,173,309,-1,-1,0,-1
2,1,2,126,225,-1,-1,0,-1
2,1,2,78,319,-1,-1,0,-1
2,1,2,59,324,-1,-1,0,-1
2,1,2,136,227,-1,-1,0,-1
2,1,2,79,346,-1,-1,0,-1
2,1,2,60,340,-1,-1,0,-1
2,1,2,88,310,-1,-1,0,-1
2,1,2,53,286,-1,-1,0,-1
2,2,2,122,269,-1,-1,0,-1
2,1,2,122,229,-1,-1,0,-1
2,1,2,35,303,-1,-1,0,-1
2,1,2,76,270,-1,-1,0,-1
2,1,2,93,262,-1,-1,0,-1
2,1,2,167,265,-1,-1,0,-1
2,1,2,57,270,-1,-1,0,-1
2,1,2,36,311,-1,-1,0,-1
2,1,2,121,357,-1,-1,0,-1
2,1,2,101,257,-1,-1,0,-1
2,1,2,167,273,-1,-1,0,-1
2,1,2,48,292,-1,-1,0,-1
2,1,2,53,252,-1,-1,0,-1
2,1,2,43,218,-1,-1,0,-1
2,1,2,138,276,-1,-1,0,-1
2,2,2,104,251,-1,-1,0,-1
2,1,2,58,306,-1,-1,0,-1
2,1,2,150,318,-1,-1,0,-1
2,1,2,40,276,-1,-1,0,-1
2,1,2,162,286,-1,-1,0,-1
2,1,2,150,361,-1,-1,0,-1
2,1,2,60,238,-1,-1,0,-1
2,1,2,114,236,-1,-1,0,-1
2,1,2,125,321,-1,-1,0,-1
2,1,2,106,245,-1,-1,0,-1
2,1,2,77,346,-1,-1,0,-1
2,1,2,104,282,-1,-1,0,-1
2,1,2,146,232,-1,-1,0,-1
2,1,2,174,290,-1,-1,0,-1
2,1,2,64,264,-1,-1,0,-1
2,1,2,161,306,-1,-1,0,-1
2,1,2,119,239,-1,-1,0,-1
2,1,2,128,348,-1,-1,0,-1
2,1,2,49,329,-1,-1,0,-1
2,1,2,169,224,-1,-1,0,-1
2,1,2,57,293,-1,-1,0,-1
2,1,2,77,225,-1,-1,0,-1
2,1,2,162,285,-1,-1,0,-1
2,1,2,88,336,-1,-1,0,-1
2,1,2,40,279,-1,-1,0,-1
2,1,2,138,344,-1,-1,0,-1
2,1,2,81,232,-1,-1,0,-1
2,1,2,139,278,-1,-1,0,-1
2,1,2,91,358,-1,-1,0,-1
2,1,2,56,311,-1,-1,0,-1
2,1,2,49,314,-1,-1,0,-1
2,1,2,74,357,-1,-1,0,-1
2,1,2,154,269,-1,-1,0,-1
2,1,2,64,303,-1,-1,0,-1
2,1,2,78,253,-1,-1,0,-1
2,1,2,35,263,-1,-1,0,-1
2,1,2,167,246,-1,-1,0,-1
2,1,2,98,228,-1,-1,0,-1
2,1,2,158,318,-1,-1,0,-1
2,1,2,100,293,-1,-1,0,-1
2,1,2,64,238,-1,-1,0,-1
2,1,2,129,291,-1,-1,0,-1
2,1,2,124,217,-1,-1,0,-1
2,1,2,105,311,-1,-1,0,-1
2,1,2,168,335,-1,-1,0,-1
2,1,2,55,244,-1,-1,0,-1
2,1,2,120,352,-1,-1,0,-1
2,1,2,121,305,-1,-1,0,-1
2,1,2,44,330,-1,-1,0,-1
2,1,2,59,330,-1,-1,0,-1
2,1,2,163,297,-1,-1,0,-1
2,1,2,78,237,-1,-1,0,-1
2,1,2,150,343,-1,-1,0,-1
2,1,2,92,222,-1,-1,0,-1
2,1,2,97,280,-1,-1,0,-1
2,1,2,137,287,-1,-1,0,-1
2,1,2,54,289,-1,-1,0,-1
2,1,2,85,270,-1,-1,0,-1
2,1,2,132,290,-1,-1,0,-1
2,1,2,74,248,-1,-1,0,-1
2,1,2,80,315,-1,-1,0,-1
2,1,2,154,358,-1,-1,0,-1
2,1,2,71,244,-1,-1,0,-1
2,1,2,141,295,-1,-1,0,-1
2,1,2,119,338,-1,-1,0,-1
2,1,2,41,318,-1,-1,0,-1
2,1,2,155,253,-1,-1,0,-1
2,1,2,164,308,-1,-1,0,-1
2,1,2,37,236,-1,-1,0,-1
2,1,2,110,297,-1,-1,0,-1
2,1,2,41,295,-1,-1,0,-1
2,1,2,110,357,-1,-1,0,-1
2,1,2,110,314,-1,-1,0,-1
2,1,2,157,258,-1,-1,0,-1
2,1,2,112,280,-1,-1,0,-1
2,1,2,178,243,-1,-1,0,-1
2,1,2,58,251,-1,-1,0,-1
2,1,2,145,317,-1,-1,0,-1
2,1,2,97,282,-1,-1,0,-1
2,1,2,78,221,-1,-1,0,-1
2,1,2,100,266,-1,-1,0,-1
2,1,2,126,226,-1,-1,0,-1
2,1,2,50,218,-1,-1,0,-1
2,1,2,85,328,-1,-1,0,-1
2,1,2,140,345,-1,-1,0,-1
2,1,2,34,308,-1,-1,0,-1
2,1,2,106,299,-1,-1,0,-1
2,1,2,57,239,-1,-1,0,-1
2,1,2,116,226,-1,-1,0,-1
2,1,2,161,262,-1,-1,0,-1
2,1,2,94,330,-1,-1,0,-1
2,1,2,133,316,-1,-1,0,-1
2,1,2,83,345,-1,-1,0,-1
2,1,2,131,329,-1,-1,0,-1
2,1,2,124,308,-1,-1,0,-1
2,1,2,81,241,-1,-1,0,-1
2,1,2,129,344,-1,-1,0,-1
2,1,2,90,298,-1,-1,0,-1
2,1,2,101,258,-1,-1,0,-1
2,1,2,162,275,-1,-1,0,-1
2,1,2,128,318,-1,-1,0,-1
2,1,2,57,235,-1,-1,0,-1
2,1,2,68,311,-1,-1,0,-1
2,1,2,43,310,-1,-1,0,-1
2,1,2,39,351,-1,-1,0,-1
2,1,2,152,218,-1,-1,0,-1
2,1,2,80,300,-1,-1,0,-1
2,1,2,158,297,-1,-1,0,-1
2,1,2,95,351,-1,-1,0,-1
2,1,2,47,320,-1,-1,0,-1
2,1,2,131,223,-1,-1,0,-1
2,1,2,36,304,-1,-1,0,-1
2,1,2,55,287,-1,-1,0,-1
2,1,2,169,349,-1,-1,0,-1
2,1,2,73,352,-1,-1,0,-1
2,1,2,63,280,-1,-1,0,-1
2,1,2,127,340,-1,-1,0,-1
2,1,2,69,292,-1,-1,0,-1
2,1,2,127,311,-1,-1,0,-1
2,1,2,178,328,-1,-1,0,-1
2,1,2,81,239,-1,-1,0,-1
2,1,2,136,341,-1,-1,0,-1
2,1,2,79,299,-1,-1,0,-1
2,1,2,61,299,-1,-1,0,-1
